self.epoch: 0, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  3/ 8 | batch     1/  404 | examples/s: 2.3 | loss: 0.1735 | loss_pe/0: 0.1735 | self_loss: 0.1735 | min_d: 0.0108 | max_d: 0.2524 | time elapsed: 00h50m03s | time left: 02h29m54s
epoch  3/ 8 | batch    26/  404 | examples/s: 2.5 | loss: 0.0824 | loss_pe/0: 0.0824 | self_loss: 0.0824 | min_d: 0.0111 | max_d: 0.2249 | time elapsed: 00h51m05s | time left: 02h26m53s
epoch  3/ 8 | batch    51/  404 | examples/s: 2.4 | loss: 0.1736 | loss_pe/0: 0.1736 | self_loss: 0.1736 | min_d: 0.0105 | max_d: 0.2337 | time elapsed: 00h52m05s | time left: 02h23m54s
epoch  3/ 8 | batch    76/  404 | examples/s: 2.4 | loss: 0.1188 | loss_pe/0: 0.1188 | self_loss: 0.1188 | min_d: 0.0128 | max_d: 0.2638 | time elapsed: 00h53m08s | time left: 02h21m09s
epoch  3/ 8 | batch   101/  404 | examples/s: 2.5 | loss: 0.1422 | loss_pe/0: 0.1422 | self_loss: 0.1422 | min_d: 0.0124 | max_d: 0.3129 | time elapsed: 00h54m09s | time left: 02h18m23s
epoch  3/ 8 | batch   126/  404 | examples/s: 1.7 | loss: 0.0978 | loss_pe/0: 0.0978 | self_loss: 0.0978 | min_d: 0.0104 | max_d: 0.2373 | time elapsed: 00h55m14s | time left: 02h15m54s
epoch  3/ 8 | batch   151/  404 | examples/s: 2.5 | loss: 0.0000 | loss_pe/0: 0.0000 | self_loss: 0.0000 | min_d: 0.0110 | max_d: 0.2329 | time elapsed: 00h56m14s | time left: 02h13m17s
epoch  3/ 8 | batch   176/  404 | examples/s: 2.5 | loss: 0.1763 | loss_pe/0: 0.1763 | self_loss: 0.1763 | min_d: 0.0108 | max_d: 0.2418 | time elapsed: 00h57m14s | time left: 02h10m47s
epoch  3/ 8 | batch   192/  404 | examples/s: 2.5 | loss: 0.0000 | loss_pe/0: 0.0000 | self_loss: 0.0000 | min_d: 0.0142 | max_d: 0.2283 | time elapsed: 00h57m53s | time left: 02h09m12s
epoch  3/ 8 | batch   201/  404 | examples/s: 2.4 | loss: 0.0104 | loss_pe/0: 0.0104 | self_loss: 0.0104 | min_d: 0.0105 | max_d: 0.2338 | time elapsed: 00h58m15s | time left: 02h08m21s
epoch  3/ 8 | batch   226/  404 | examples/s: 2.5 | loss: 0.0126 | loss_pe/0: 0.0126 | self_loss: 0.0126 | min_d: 0.0122 | max_d: 0.2290 | time elapsed: 00h59m16s | time left: 02h05m59s
epoch  3/ 8 | batch   251/  404 | examples/s: 2.5 | loss: 0.1661 | loss_pe/0: 0.1661 | self_loss: 0.1661 | min_d: 0.0129 | max_d: 0.2275 | time elapsed: 01h00m16s | time left: 02h03m41s
epoch  3/ 8 | batch   276/  404 | examples/s: 2.5 | loss: 0.1207 | loss_pe/0: 0.1207 | self_loss: 0.1207 | min_d: 0.0127 | max_d: 0.2940 | time elapsed: 01h01m17s | time left: 02h01m26s
epoch  3/ 8 | batch   301/  404 | examples/s: 2.5 | loss: 0.1178 | loss_pe/0: 0.1178 | self_loss: 0.1178 | min_d: 0.0124 | max_d: 0.3317 | time elapsed: 01h02m17s | time left: 01h59m14s
epoch  3/ 8 | batch   326/  404 | examples/s: 2.5 | loss: 0.1311 | loss_pe/0: 0.1311 | self_loss: 0.1311 | min_d: 0.0153 | max_d: 0.2432 | time elapsed: 01h03m18s | time left: 01h57m07s
epoch  3/ 8 | batch   351/  404 | examples/s: 2.5 | loss: 0.1073 | loss_pe/0: 0.1073 | self_loss: 0.1073 | min_d: 0.0108 | max_d: 0.2347 | time elapsed: 01h04m18s | time left: 01h55m01s
epoch  3/ 8 | batch   376/  404 | examples/s: 2.4 | loss: 0.1290 | loss_pe/0: 0.1290 | self_loss: 0.1290 | min_d: 0.0123 | max_d: 0.2493 | time elapsed: 01h05m19s | time left: 01h52m59s
epoch  3/ 8 | batch   392/  404 | examples/s: 2.5 | loss: 0.1172 | loss_pe/0: 0.1172 | self_loss: 0.1172 | min_d: 0.0135 | max_d: 0.2232 | time elapsed: 01h05m58s | time left: 01h51m42s
epoch  3/ 8 | batch   401/  404 | examples/s: 2.6 | loss: 0.1786 | loss_pe/0: 0.1786 | self_loss: 0.1786 | min_d: 0.0112 | max_d: 0.2495 | time elapsed: 01h06m19s | time left: 01h50m59s
self.epoch: 3, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  4/ 8 | batch     1/  404 | examples/s: 2.4 | loss: 0.1648 | loss_pe/0: 0.1648 | self_loss: 0.1648 | min_d: 0.0104 | max_d: 0.2625 | time elapsed: 01h14m37s | time left: 02h04m11s
epoch  4/ 8 | batch    26/  404 | examples/s: 2.6 | loss: 0.1135 | loss_pe/0: 0.1135 | self_loss: 0.1135 | min_d: 0.0131 | max_d: 0.2318 | time elapsed: 01h15m37s | time left: 02h01m47s
epoch  4/ 8 | batch    51/  404 | examples/s: 2.0 | loss: 0.0128 | loss_pe/0: 0.0128 | self_loss: 0.0128 | min_d: 0.0126 | max_d: 0.2307 | time elapsed: 01h16m38s | time left: 01h59m28s
